Card,Channel,Connector,Carrier Pad,Name: Carrier pin,Name: Carrier Pad,Name: BGA,Name: Die
1,0,1,1,B2,P1,,
2,4,14,2,B1,P2,,
1,1,2,3,C2,P3,,
2,5,15,4,C1,P4,BGA_16,R6
1,2,3,5,D2,P5,,
2,6,16,6,D1,P6,BGA_14,R5
1,3,4,7,E2,P7,BGA_12,R4
2,7,17,8,E1,P8,BGA_10,R3
1,4,5,9,F3,P9,,
3,0,18,10,F2,P10,BGA_08,R2
1,5,6,11,F1,P11,BGA_06,R1
3,1,19,12,G2,P12,SHIELD,
3,2,20,14,G1,P14,,
1,6,8,15,H1,P15,BGA_05,L1
3,3,21,16,H2,P16,BGA_07,L2
1,7,9,17,H3,P17,,
3,4,22,18,J1,P18,BGA_09,L3
2,0,10,19,J2,P19,BGA_11,L4
3,5,23,20,K1,P20,BGA_13,L5
2,1,11,21,K2,P21,,
3,6,24,22,L1,P22,BGA_15,L6
2,2,12,23,M1,P23,,
3,7,25,24,L2,P24,,
2,3,13,25,N1,P25,,
4,0,1,26,M2,P26,,
5,4,14,27,N2,P27,,
4,1,2,28,M3,P28,,
5,5,15,29,N3,P29,BGA_17,L7
4,2,3,30,M4,P30,,
5,6,16,31,N4,P31,BGA_19,L8
4,3,4,32,M5,P32,BGA_21,L9
5,7,17,33,N5,P33,BGA_23,L10
4,4,5,34,L6,P34,,
6,0,18,35,M6,P35,BGA_25,L11
4,5,6,36,N6,P36,BGA_27,L12
6,1,19,37,M7,P37,,
6,2,20,39,N7,P39,,
4,6,8,40,N8,P40,BGA_29,L13
6,3,21,41,M8,P41,BGA_31,L14
4,7,9,42,L8,P42,,
6,4,22,43,N9,P43,BGA_33,L15
5,0,10,44,M9,P44,BGA_35,L16
6,5,23,45,N10,P45,BGA_37,L17
5,1,11,46,M10,P46,,
6,6,24,47,N11,P47,BGA_39,L18
5,2,12,48,N12,P48,,
6,7,25,49,M11,P49,,
5,3,13,50,N13,P50,,
7,0,1,51,M12,P51,,
8,4,14,52,M13,P52,,
7,1,2,53,L12,P53,,
8,5,15,54,L13,P54,BGA_41,L19
7,2,3,55,K12,P55,,
8,6,16,56,K13,P56,BGA_43,L20
7,3,4,57,J12,P57,BGA_45,L21
8,7,17,58,J13,P58,BGA_47,L22
7,4,5,59,H11,P59,,
9,0,18,60,H12,P60,BGA_49,L23
7,5,6,61,H13,P61,BGA_03,L24
9,1,19,62,G12,P62,,
9,2,20,64,G13,P64,,
7,6,8,65,F13,P65,BGA_04,R24
9,3,21,66,F12,P66,BGA_50,R23
7,7,9,67,F11,P67,,
9,4,22,68,E13,P68,BGA_48,R22
8,0,10,69,E12,P69,BGA_46,R21
9,5,23,70,D13,P70,BGA_44,R20
8,1,11,71,D12,P71,,
9,6,24,72,C13,P72,BGA_42,R19
8,2,12,73,B13,P73,,
9,7,25,74,C12,P74,,
8,3,13,75,A13,P75,,
10,0,1,76,B12,P76,,
11,4,14,77,A12,P77,,
10,1,2,78,B11,P78,,
11,5,15,79,A11,P79,BGA_40,R18
10,2,3,80,B10,P80,,
11,6,16,81,A10,P81,BGA_38,R17
10,3,4,82,B9,P82,BGA_36,R16
11,7,17,83,A9,P83,BGA_34,R15
10,4,5,84,C8,P84,,
12,0,18,85,B8,P85,BGA_32,R14
10,5,6,86,A8,P86,BGA_30,R13
12,1,19,87,B7,P87,,
12,2,20,89,A7,P89,,
10,6,8,90,A6,P90,BGA_28,R12
12,3,21,91,B6,P91,BGA_26,R11
10,7,9,92,C6,P92,,
12,4,22,93,A5,P93,BGA_24,R10
11,0,10,94,B5,P94,BGA_22,R9
12,5,23,95,A4,P95,BGA_20,R8
11,1,11,96,B4,P96,,
12,6,24,97,A3,P97,BGA_18,R7
11,2,12,98,A2,P98,,
12,7,25,99,B3,P99,,
11,3,13,100,A1,P100,,
