Pin,Name: BGA
14,bga_00
61,bga_03
59,bga_04
11,bga_05
13,bga_06
10,bga_07
16,bga_08
8,bga_09
18,bga_10
7,bga_11
17,bga_12
6,bga_13
20,bga_14
4,bga_15
22,bga_16
46,bga_17
76,bga_18
44,bga_19
78,bga_20
41,bga_21
79,bga_22
42,bga_23
80,bga_24
40,bga_25
82,bga_26
37,bga_27
83,bga_28
35,bga_29
85,bga_30
34,bga_31
88,bga_32
32,bga_33
90,bga_34
31,bga_35
89,bga_36
30,bga_37
92,bga_38
28,bga_39
94,bga_40
70,bga_41
52,bga_42
68,bga_43
54,bga_44
65,bga_45
55,bga_46
66,bga_47
56,bga_48
64,bga_49
58,bga_50
23,
24,
21,
19,
15,
12,
9,
5,
3,
2,
1,
47,
48,
45,
43,
39,
38,
36,
33,
29,
27,
26,
25,
71,
72,
69,
67,
63,
62,
60,
57,
53,
51,
50,
49,
95,
96,
93,
91,
87,
86,
84,
81,
77,
75,
74,
73,
