Pin,Name: MUSIQC Gen III
1,
2,
3,
4,GenIII_15
5,GenIII_15
6,GenIII_13
7,GenIII_11
8,GenIII_09
9,
10,GenIII_07
11,GenIII_05
12,
13,GenIII_06
14,
15,
16,GenIII_08
17,GenIII_12
18,GenIII_10
19,GenIII_16
20,GenIII_14
21,
22,GenIII_16
23,
24,
25,
26,
27,
28,GenIII_39
29,GenIII_39
30,GenIII_37
31,GenIII_35
32,GenIII_33
33,GenIII_31
34,GenIII_29
35,GenIII_31
36,
37,GenIII_25
38,
39,GenIII_25
40,GenIII_27
41,GenIII_21
42,GenIII_23
43,GenIII_17
44,GenIII_19
45,
46,GenIII_17
47,
48,
49,
50,
51,
52,GenIII_42
53,GenIII_42
54,GenIII_44
55,GenIII_46
56,GenIII_48
57,
58,GenIII_04
59,
60,
61,
62,
63,
64,GenIII_03
65,GenIII_45
66,GenIII_47
67,GenIII_41
68,GenIII_43
69,
70,GenIII_41
71,
72,
73,
74,
75,
76,GenIII_18
77,GenIII_18
78,GenIII_20
79,GenIII_22
80,GenIII_24
81,GenIII_26
82,GenIII_28
83,GenIII_26
84,
85,GenIII_32
86,
87,GenIII_32
88,GenIII_30
89,GenIII_36
90,GenIII_34
91,GenIII_40
92,GenIII_38
93,
94,GenIII_40
95,
96,
