DC_Cntrl,Trap Pad
61,SYM_03
59,SYM_04
11,SYM_05
13,SYM_06
10,SYM_07
16,SYM_08
8,SYM_09
18,SYM_10
7,SYM_11
17,SYM_12
6,SYM_13
20,SYM_14
4,SYM_15
22,SYM_16
46,SYM_17
76,SYM_18
44,SYM_19
78,SYM_20
41,SYM_21
79,SYM_22
42,SYM_23
80,SYM_24
40,SYM_25
82,SYM_26
34,SYM_27
88,SYM_28
32,SYM_29
90,SYM_30
31,SYM_31
89,SYM_32
30,SYM_33
92,SYM_34
28,SYM_35
94,SYM_36
70,SYM_37
52,SYM_38
68,SYM_39
54,SYM_40
65,SYM_41
55,SYM_42
66,SYM_43
56,SYM_44
64,SYM_45
58,SYM_46
1,
2,
3,
5,
9,
12,
14,
15,
19,
21,
23,
24,
25,
26,
27,
29,
33,
35,
36,
37,
38,
39,
43,
45,
47,
48,
49,
50,
51,
53,
57,
60,
62,
63,
67,
69,
71,
72,
73,
74,
75,
77,
81,
83,
84,
85,
86,
87,
91,
93,
95,
96,
